"ID","Title","Content","Acceptance Criteria","Review Requirements","State","Labels"
"1","[#001] 清理 analyzer：lib/features/provider/pages/provider_detail_page.dart（100 条）","目标文件：lib/features/provider/pages/provider_detail_page.dart；动态排名 #001；共 100 条 issue（W8/I92/E0）。主簇：deprecated_member_use×72、use_build_context_synchronously×12、no_leading_underscores_for_local_identifiers×6、unused_element×5、curly_braces_in_flow_control_structures×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×12），再 API 漂移（deprecated_member_use×72），最后样式卫生（no_leading_underscores_for_local_identifiers×6、unused_element×5、curly_braces_in_flow_control_structures×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"2","[#002] 清理 analyzer：lib/features/assistant/pages/assistant_settings_edit_page.dart（97 条）","目标文件：lib/features/assistant/pages/assistant_settings_edit_page.dart；动态排名 #002；共 97 条 issue（W22/I75/E0）。主簇：deprecated_member_use×56、use_build_context_synchronously×12、unused_element_parameter×11、unused_element×6、unnecessary_non_null_assertion×4。修复顺序：先行为/正确性风险（use_build_context_synchronously×12、unnecessary_non_null_assertion×4），再 API 漂移（deprecated_member_use×56），最后样式卫生（unused_element_parameter×11、unused_element×6）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"3","[#003] 清理 analyzer：lib/desktop/setting/display_pane.dart（96 条）","目标文件：lib/desktop/setting/display_pane.dart；动态排名 #003；共 96 条 issue（W18/I78/E0）。主簇：deprecated_member_use×67、unused_element×7、use_build_context_synchronously×6、invalid_null_aware_operator×5、curly_braces_in_flow_control_structures×4。修复顺序：先行为/正确性风险（use_build_context_synchronously×6、invalid_null_aware_operator×5），再 API 漂移（deprecated_member_use×67），最后样式卫生（unused_element×7、curly_braces_in_flow_control_structures×4）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 该任务属于桌面层，纳入“每 5 个 desktop 文件一次 flutter build macos --debug、最终再执行一次”的批次护栏。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"4","[#004] 清理 analyzer：lib/features/chat/widgets/chat_message_widget.dart（90 条）","目标文件：lib/features/chat/widgets/chat_message_widget.dart；动态排名 #004；共 90 条 issue（W16/I74/E0）。主簇：deprecated_member_use×63、use_build_context_synchronously×5、unused_element×3、unnecessary_non_null_assertion×2、unused_element_parameter×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×5、unnecessary_non_null_assertion×2），再 API 漂移（deprecated_member_use×63），最后样式卫生（unused_element×3、unused_element_parameter×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"5","[#005] 清理 analyzer：lib/features/chat/widgets/message_export_sheet.dart（90 条）","目标文件：lib/features/chat/widgets/message_export_sheet.dart；动态排名 #005；共 90 条 issue（W11/I79/E0）。主簇：use_build_context_synchronously×39、deprecated_member_use×37、unused_element×6、prefer_final_fields×2、unnecessary_null_comparison×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×39、unnecessary_null_comparison×2），再 API 漂移（deprecated_member_use×37），最后样式卫生（unused_element×6、prefer_final_fields×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"6","[#006] 清理 analyzer：lib/features/assistant/pages/assistant_settings_edit_basic_tab.dart（82 条）","目标文件：lib/features/assistant/pages/assistant_settings_edit_basic_tab.dart；动态排名 #006；共 82 条 issue（W5/I77/E0）。主簇：deprecated_member_use×50、use_build_context_synchronously×22、curly_braces_in_flow_control_structures×3、unused_local_variable×3、prefer_interpolation_to_compose_strings×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×22），再 API 漂移（deprecated_member_use×50），最后样式卫生（curly_braces_in_flow_control_structures×3、unused_local_variable×3、prefer_interpolation_to_compose_strings×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"7","[#007] 清理 analyzer：lib/shared/widgets/markdown_with_highlight.dart（78 条）","目标文件：lib/shared/widgets/markdown_with_highlight.dart；动态排名 #007；共 78 条 issue（W6/I72/E0）。主簇：deprecated_member_use×52、use_build_context_synchronously×10、unnecessary_brace_in_string_interps×7、dead_null_aware_expression×2、unused_local_variable×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×10、dead_null_aware_expression×2），再 API 漂移（deprecated_member_use×52），最后样式卫生（unnecessary_brace_in_string_interps×7、unused_local_variable×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"8","[#008] 清理 analyzer：lib/features/settings/pages/display_settings_page.dart（77 条）","目标文件：lib/features/settings/pages/display_settings_page.dart；动态排名 #008；共 77 条 issue（W6/I71/E0）。主簇：deprecated_member_use×50、use_build_context_synchronously×17、unused_element_parameter×3、curly_braces_in_flow_control_structures×2、unused_element×2。修复顺序：先行为/正确性风险（use_build_context_synchronously×17），再 API 漂移（deprecated_member_use×50），最后样式卫生（unused_element_parameter×3、curly_braces_in_flow_control_structures×2、unused_element×2）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 若伴随修改触达 lib/desktop/**，同样纳入桌面护栏；否则不额外触发桌面构建门禁。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"9","[#009] 清理 analyzer：lib/desktop/setting/backup_pane.dart（72 条）","目标文件：lib/desktop/setting/backup_pane.dart；动态排名 #009；共 72 条 issue（W4/I68/E0）。主簇：use_build_context_synchronously×33、deprecated_member_use×30、curly_braces_in_flow_control_structures×5、unused_field×2、unused_element×1。修复顺序：先行为/正确性风险（use_build_context_synchronously×33），再 API 漂移（deprecated_member_use×30），最后样式卫生（curly_braces_in_flow_control_structures×5、unused_field×2、unused_element×1）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 该任务属于桌面层，纳入“每 5 个 desktop 文件一次 flutter build macos --debug、最终再执行一次”的批次护栏。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
"10","[#010] 清理 analyzer：lib/desktop/model_edit_dialog.dart（64 条）","目标文件：lib/desktop/model_edit_dialog.dart；动态排名 #010；共 64 条 issue（W1/I63/E0）。主簇：deprecated_member_use×56、curly_braces_in_flow_control_structures×6、no_leading_underscores_for_local_identifiers×1、unused_element_parameter×1。修复顺序：先行为/正确性风险（按全文件扫描确认），再 API 漂移（deprecated_member_use×56），最后样式卫生（curly_braces_in_flow_control_structures×6、no_leading_underscores_for_local_identifiers×1、unused_element_parameter×1）。边界：主落点限该文件；伴随修改最多 1~2 个直接依赖共享文件；若需改共享接口、持久化、l10n、桌面入口或 path dependency 公共面，立即升级为跨边界问题。","1. 该文件及最小伴随文件的局部 analyze 清零。 2. 已改文件完成 dart format，且格式化后无新增诊断。 3. 整仓 flutter analyze 总数下降，且该文件退出文件级队列。 4. flutter test 保持通过。 5. 该任务属于桌面层，纳入“每 5 个 desktop 文件一次 flutter build macos --debug、最终再执行一次”的批次护栏。","强制 review + rewind：1. 用工具复查该文件全部诊断已清零，无残余。 2. 伴随修改未越过共享接口、持久化、l10n、path dependency 或桌面入口边界。 3. 未引入新诊断、新公共 API、新文案、新 fallback。 4. 若总 issue 不降反升、测试转红或出现新类型簇，立即停在当前文件回查。","已完成","已完成"
